date_key,account,daily_pnl,trade_count,avg_trade_size,avg_leverage,wins,classification,sentiment_value,win_rate
2024-03-04,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,26773.771643,287,5485.087665505226,2606666664.26455,253,Extreme Greed,82.0,0.8815331010452961
2024-03-04,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,1026.004099,13,290.5161538461538,5.060563337144708,13,Extreme Greed,82.0,1.0
2024-03-05,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,19791.026041,180,4676.724,2212676222.316313,163,Extreme Greed,90.0,0.9055555555555556
2024-03-06,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,6814.825139,82,3990.4636585365856,1830269268.725955,72,Extreme Greed,75.0,0.8780487804878049
2024-03-08,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,4271.886236,67,2740.047462686567,1349103134.845423,59,Extreme Greed,81.0,0.8805970149253731
2024-03-09,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,9949.501624,117,5625.459401709401,2842390003.250673,97,Extreme Greed,84.0,0.8290598290598291
2024-03-10,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2482.9272,42,5237.472619047619,2030750248.228003,29,Extreme Greed,79.0,0.6904761904761905
2024-03-11,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,3588.179495,42,4202.844047619047,1952289524.25773,39,Extreme Greed,82.0,0.9285714285714286
2024-03-12,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,3039.166,8,12880.10625,6250105002.240173,7,Extreme Greed,81.0,0.875
2024-03-13,0x4f93fead39b70a1824f981a54d4e55b278e9f760,0.0,7,857.2571428571428,1719540.7829170444,0,Extreme Greed,81.0,0.0
2024-03-14,0x4f93fead39b70a1824f981a54d4e55b278e9f760,65.480454,1,6066.28,4010.495828047185,1,Extreme Greed,88.0,1.0
2024-03-14,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,3400.385378,17,11756.876470588235,5778430595.781929,15,Extreme Greed,88.0,0.8823529411764706
